"title","duration_value","duration_unit"
"The Twilight Saga: Breaking Dawn: Part 1","117","min"
"The Twilight Saga: Breaking Dawn: Part 2","115","min"
"The Twilight Saga: Eclipse","124","min"
"The Twilight Saga: New Moon","131","min"
"Twilight","122","min"
"A Perfect Fit","113","min"
"BEASTARS","2","Seasons"
"Cheech & Chong's Still Smokin","91","min"
"Emicida: AmarElo - Live in São Paulo","100","min"
"Her Private Life","1","Season"
"Lift Like a Girl","93","min"
"My Amanda","90","min"
"Never Have I Ever","2","Seasons"
"Surf's Up","86","min"
"The Unknown Saint","100","min"
"This Changes Everything","96","min"
"A Classic Horror Story","95","min"
"Gunpowder Milkshake","115","min"
"Heist","1","Season"
"My Unorthodox Life","1","Season"
"Private Network: Who Killed Manuel Buendía?","100","min"
"The Guide to the Perfect Family","102","min"
"American Woman","87","min"
"Bridgerton - The Afterparty","39","min"
"Day of Destiny","110","min"
"Ridley Jones","1","Season"
"Born to Play","93","min"
"American Ultra","96","min"
"The Stand-Up","93","min"
"The Tour","93","min"
"Atypical","4","Seasons"
"Biohackers","2","Seasons"
"Fear Street Part 2: 1978","111","min"
"Finding Hubby","105","min"
"How I Became a Superhero","101","min"
"How to Become a Tyrant","1","Season"
"Last Summer","102","min"
"Lee Su-geun: The Sense Coach","46","min"
"Lethal Love","89","min"
"Ratchet and Clank","94","min"
"The Cook of Castamar","1","Season"
"Virgin River","3","Seasons"
"Back to Q82","104","min"
"Elize Matsunaga: Once Upon a Crime","1","Season"
"Home Again","97","min"
"Midnight Sun","91","min"
"RESIDENT EVIL: Infinite Darkness","1","Season"
"Rock the Kasbah","106","min"
"Awon Boyz","38","min"
"Brick Mansions","90","min"
"Cat People","1","Season"
"Clash","87","min"
"Dogs","2","Seasons"
"Major Grom: Plague Doctor","138","min"
"Mama Drama","105","min"
"Tango With Me","104","min"
"The Mire","2","Seasons"
"The War Next-door","1","Season"
"Therapy","85","min"
"This Little Love Of Mine","92","min"
"Three Thieves","108","min"
"A Land Imagined","95","min"
"Ask the StoryBots","3","Seasons"
"Between","2","Seasons"
"Chelsea","2","Seasons"
"Code Lyoko","4","Seasons"
"Colony","3","Seasons"
"Cuckoo","5","Seasons"
"Derry Girls","2","Seasons"
"Girl from Nowhere","2","Seasons"
"Good Morning Call","2","Seasons"
"Har Kisse Ke Hisse: Kaamyaab","105","min"
"I AM A KILLER","2","Seasons"
"I Think You Should Leave with Tim Robinson","2","Seasons"
"Kim's Convenience","5","Seasons"
"Larva","3","Seasons"
"Marcella","3","Seasons"
"Midnight Diner: Tokyo Stories","2","Seasons"
"My Little Pony: Friendship Is Magic","8","Seasons"
"Orange Is the New Black","7","Seasons"
"Puffin Rock","2","Seasons"
"Rehmataan","116","min"
"Return of the Prodigal Son","124","min"
"Richie Rich","2","Seasons"
"Rise: Ini Kalilah","101","min"
"Scream","3","Seasons"
"Shtisel","3","Seasons"
"Si Doel the Movie 2","95","min"
"Some Assembly Required","2","Seasons"
"Tales by Light","3","Seasons"
"Terrace House: Opening New Doors","6","Seasons"
"The A List","2","Seasons"
"The New Legends of Monkey","2","Seasons"
"The Worst Witch","4","Seasons"
"Truckbhar Swapna","128","min"
"Ujala","143","min"
"Undercover","2","Seasons"
"Workin' Moms","5","Seasons"
"YooHoo to the Rescue","3","Seasons"
"You Are My Spring","1","Season"
"We the People","1","Season"
"Grey's Anatomy","17","Seasons"
"Big Timber","1","Season"
"Fear Street Part 1: 1994","107","min"
"Haseen Dillruba","136","min"
"Holiday on Mars","94","min"
"Mortel","2","Seasons"
"RattleSnake - The Ahanna Story","136","min"
"Snowpiercer","126","min"
"The 8th Night","116","min"
"Winchester","100","min"
"6 Bullets","115","min"
"Air Force One","125","min"
"Audible","39","min"
"Austin Powers in Goldmember","94","min"
"Austin Powers: International Man of Mystery","90","min"
"Austin Powers: The Spy Who Shagged Me","95","min"
"Boogie Nights","155","min"
"Bureau of Magical Things","1","Season"
"Charlie's Angels","98","min"
"Congo","108","min"
"Dennis the Menace","96","min"
"Dreamy Eyes","117","min"
"Dynasty Warriors","118","min"
"Generation 56k","1","Season"
"Hampstead","103","min"
"Kung Fu Panda","94","min"
"Kung Fu Panda 2","93","min"
"Life as We Know It","115","min"
"Mary Magdalene","120","min"
"Masameer County","1","Season"
"Memoirs of a Geisha","145","min"
"Midnight Run","126","min"
"Mobile Suit Gundam Hathaway","96","min"
"Mortal Kombat","101","min"
"Mother's Day","118","min"
"No Strings Attached","109","min"
"Not Another Teen Movie","89","min"
"Ophelia","106","min"
"Pet Sematary 2","101","min"
"Quarantine Tales","1","Season"
"Rainbow Rangers","1","Season"
"Red Joan","101","min"
"Sailor Moon Crystal","3","Seasons"
"Seven Pounds","123","min"
"She's Out of My League","106","min"
"Snow Day","89","min"
"Star Trek","128","min"
"Stuart Little","85","min"
"Sword of Trust","89","min"
"Talladega Nights: The Ballad of Ricky Bobby","108","min"
"The American","105","min"
"The Best of Enemies","133","min"
"The Game","129","min"
"The Karate Kid","127","min"
"The Karate Kid Part II","113","min"
"The Karate Kid Part III","112","min"
"The Life of David Gale","130","min"
"The Long Riders","100","min"
"The Queen","103","min"
"The Strangers","85","min"
"The Sum of All Fears","124","min"
"The Tourist","103","min"
"Underworld","121","min"
"Underworld: Awakening","89","min"
"Underworld: Rise of the Lycans","92","min"
"Voiceless","112","min"
"What Dreams May Come","114","min"
"Why Do Fools Fall in Love","116","min"
"Working Title","110","min"
"Young Royals","1","Season"
"America: The Motion Picture","98","min"
"Deranged","98","min"
"Droppin' Cash: Los Angeles","1","Season"
"Legend of Exorcism","1","Season"
"Lying and Stealing","100","min"
"Mommy Issues","90","min"
"Prime Time","92","min"
"Somos.","1","Season"
"Sophie: A Murder in West Cork","1","Season"
"The Daily Life of the Immortal King","1","Season"
"StarBeam","4","Seasons"
"A Way Back Home","82","min"
"Killing Them Softly","97","min"
"The Seven Deadly Sins","5","Seasons"
"Wanted","90","min"
"Into the Wind","76","min"
"Wonder Boy","83","min"
"Here Comes the Rain","101","min"
"The Ice Road","109","min"
"Ray","1","Season"
"Sex/Life","1","Season"
"Godzilla Singular Point","1","Season"
"Jiva!","1","Season"
"Sisters on Track","97","min"
"The Naked Director","2","Seasons"
"The Seventh Day","87","min"
"Good on Paper","94","min"
"Murder by the Coast","89","min"
"The House of Flowers: The Movie","88","min"
"The Parisian Agency: Exclusive Properties","1","Season"
"Too Hot to Handle","2","Seasons"
"Broken","108","min"
"O Vendedor de Sonhos","96","min"
"Osuofia in London","84","min"
"Osuofia in London II","70","min"
"This Is Pop","1","Season"
"#Selfie","125","min"
"#Selfie 69","119","min"
"Love Is a Story","105","min"
"The Mole","2","Seasons"
"Nevertheless,","1","Season"
"Bangkok Love Stories: Innocence","1","Season"
"Black Lightning","4","Seasons"
"Call My Agent!","4","Seasons"
"Champions","1","Season"
"Charité at War","1","Season"
"Cleo & Cuquin","2","Seasons"
"Deadwind","2","Seasons"
"Gameboys Level-Up Edition","1","Season"
"Glee","6","Seasons"
"Hap and Leonard","3","Seasons"
"Locked Up","5","Seasons"
"Mobile Suit Gundam II: Soldiers of Sorrow","133","min"
"Mobile Suit Gundam III: Encounters in Space","140","min"
"Mobile Suit Gundam: Char's Counterattack","120","min"
"No Time for Shame","1","Season"
"Pose","2","Seasons"
"REA(L)OVE","1","Season"
"Riverdale","4","Seasons"
"Schitt's Creek","6","Seasons"
"The Assassination of Gianni Versace","1","Season"
"The Judgement","1","Season"
"The Last Dance","1","Season"
"They've Gotta Have Us","1","Season"
"Why Are You Like This","1","Season"
"A Family","135","min"
"Elite","4","Seasons"
"Fatherhood","111","min"
"Hospital Playlist","2","Seasons"
"Jagame Thandhiram","159","min"
"Kambili: The Whole 30 Yards","119","min"
"Mobile Suit Gundam I","139","min"
"Rurouni Kenshin: The Final","137","min"
"So Not Worth It","1","Season"
"The Rational Life","1","Season"
"Ali & Ratu Ratu Queens","101","min"
"Aziza","13","min"
"Besieged Bread","12","min"
"Black Summer","2","Seasons"
"Elite Short Stories: Carla Samuel","1","Season"
"Fan Girl","101","min"
"Katla","1","Season"
"Record of Ragnarok","1","Season"
"Red Snow","96","min"
"Silver Linings Playbook","122","min"
"The Gift","3","Seasons"
"A Man For The Week End","95","min"
"Biking Borders","89","min"
"Elite Short Stories: Omar Ander Alexis","1","Season"
"Let's Eat","1","Season"
"Lowriders","98","min"
"Millennials","3","Seasons"
"Penguin Town","1","Season"
"Security","119","min"
"Silver Skates","138","min"
"Avengers Climate Conundrum","1","Season"
"Beyond Evil","1","Season"
"Elite Short Stories: Nadia Guzmán","1","Season"
"FTA","104","min"
"Headspace: Unwind Your Mind","273","min"
"Life of Crime","101","min"
"Power Rangers Dino Fury","1","Season"
"Rhyme Time Town","2","Seasons"
"Rogue Warfare: Death of a Nation","99","min"
"Sir! No Sir!","84","min"
"The American Bible Challenge","1","Season"
"The Reason I Jump","82","min"
"Elite Short Stories: Guzmán Caye Rebe","1","Season"
"Metallica: Some Kind of Monster","1","Season"
"Picture a Scientist","97","min"
"The Devil Below","89","min"
"Bling Empire - The Afterparty","36","min"
"Cobra Kai - The Afterparty","34","min"
"Love (ft. Marriage and Divorce)","2","Seasons"
"To All the Boys: Always and Forever - The Afterparty","36","min"
"LEGO Friends: The Power of Friendship","2","Seasons"
"Lupin","2","Seasons"
"Sarbath","113","min"
"Skater Girl","110","min"
"Trese","1","Season"
"Trese After Dark","36","min"
"Wish Dragon","102","min"
"A Haunted House 2","86","min"
"Blind Intersections","91","min"
"Camellia Sisters","117","min"
"Copenhagen","99","min"
"Locombianos","1","Season"
"Until Midnight","77","min"
"Awake","97","min"
"Confusion Na Wa","106","min"
"Fresh, Fried & Crispy","1","Season"
"L.A.’s Finest","2","Seasons"
"Tragic Jungle","97","min"
"Guru Aur Bhole","2","Seasons"
"Vampire Academy","104","min"
"Newly Rich, Newly Poor","1","Season"
"A Private War","110","min"
"Kitty Love: An Homage to Cats","61","min"
"Small Chops","98","min"
"Breaking Boundaries: The Science Of Our Planet","74","min"
"Feel Good","2","Seasons"
"Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home","60","min"
"Fireplace 4K: Crackling Birchwood from Fireplace for Your Home","60","min"
"Human: The World Within","1","Season"
"Sweet & Sour","103","min"
"Sweet Tooth","1","Season"
"Trippin' with the Kandasamys","94","min"
"Xtreme","112","min"
"Alan Saldaña: Locked Up","49","min"
"Creator's File: GOLD","1","Season"
"Dancing Queens","111","min"
"From Stress to Happiness","58","min"
"Myriam Fares: The Journey","72","min"
"Pretty Guardian Sailor Moon Eternal The Movie","1","Season"
"Summertime","2","Seasons"
"The Girl and the Gun","78","min"
"2 Hearts","101","min"
"A Perfect Ending","110","min"
"American Outlaws","94","min"
"And Then Came Lola","70","min"
"Attack on Titan","1","Season"
"Battlefield Earth","118","min"
"Ben & Holly's Little Kingdom","2","Seasons"
"Black Holes | The Edge of All We Know","99","min"
"Bliss","103","min"
"Carnaval","95","min"
"Cloudburst","93","min"
"Cocomelon","3","Seasons"
"Company of Heroes","101","min"
"Cradle 2 the Grave","101","min"
"Domestic Disturbance","89","min"
"Downton Abbey","6","Seasons"
"Dream/Killer","109","min"
"Felon","104","min"
"Flipped","90","min"
"Fools Rush In","109","min"
"Gold Statue","145","min"
"Happy Endings","3","Seasons"
"Hostel: Part III","88","min"
"I Am Sam","132","min"
"Love Jones","109","min"
"Million Dollar Baby","133","min"
"Mosquita y Mari","85","min"
"Never Back Down 2: The Beatdown","104","min"
"Ninja Assassin","99","min"
"Ouran High School Host Club","1","Season"
"Population 436","93","min"
"Racket Boys","1","Season"
"Seven Souls in the Skull Castle: Season Moon Jogen","204","min"
"Seven Souls in the Skull Castle: Season Moon Kagen","212","min"
"Sniper: Legacy","98","min"
"Starsky & Hutch","101","min"
"Streets of Fire","94","min"
"Super Monsters: Once Upon a Rhyme","25","min"
"Swordfish","99","min"
"The Adventures of Sonic the Hedgehog","1","Season"
"The Four Seasons","108","min"
"The Girl King","106","min"
"The Interpreter","128","min"
"The Meddler","104","min"
"The Mirror Has Two Faces","127","min"
"The Outlaw Josey Wales","136","min"
"The Platform","3","Seasons"
"The Wedding Guest","97","min"
"The Wind","88","min"
"Then Came You","97","min"
"Welcome Home","97","min"
"Dirty John","2","Seasons"
"Bo Burnham: Inside","88","min"
"One Lagos Night","103","min"
"Collateral Beauty","97","min"
