"title","type","director","cast","country","rating","listed_in","date_added_formatted","duration_value","duration_unit"
"jaguar","tv show","unknown","blanca suárez, iván marcos, óscar casas, adrián lastra, francesc garrido, stefan weinert, julia möller, alicia chojnowski","unknown","tv-ma","international tv shows, spanish-language tv shows, tv action & adventure","2021-09-22","1","Season"
"monsters inside: the 24 faces of billy milligan","tv show","olivier megaton","unknown","unknown","tv-14","crime tv shows, docuseries, international tv shows","2021-09-22","1","Season"
"resurrection: ertugrul","tv show","unknown","engin altan düzyatan, serdar gökhan, hülya darcan, kaan taşaner, esra bilgiç, osman soykut, serdar deniz, cengiz coşkun, reshad strik, hande subaşı","turkey","tv-14","international tv shows, tv action & adventure, tv dramas","2021-09-22","5","Seasons"
"avvai shanmughi","movie","k.s. ravikumar","kamal hassan, meena, gemini ganesan, heera rajgopal, nassar, s.p. balasubrahmanyam","unknown","tv-pg","comedies, international movies","2021-09-21","161","min"
"go! go! cory carson: chrissy takes the wheel","movie","alex woo, stanley moore","maisie benson, paul killam, kerry gudjohnsen, ac lim","unknown","tv-y","children & family movies","2021-09-21","61","min"
"jeans","movie","s. shankar","prashanth, aishwarya rai bachchan, sri lakshmi, nassar","india","tv-14","comedies, international movies, romantic movies","2021-09-21","166","min"
"love on the spectrum","tv show","unknown","brooke satchwell","australia","tv-14","docuseries, international tv shows, reality tv","2021-09-21","2","Seasons"
"minsara kanavu","movie","rajiv menon","arvind swamy, kajol, prabhu deva, nassar, s.p. balasubrahmanyam, girish karnad","unknown","tv-pg","comedies, international movies, music & musicals","2021-09-21","147","min"
"grown ups","movie","dennis dugan","adam sandler, kevin james, chris rock, david spade, rob schneider, salma hayek, maria bello, maya rudolph, colin quinn, tim meadows, joyce van patten","united states","pg-13","comedies","2021-09-20","103","min"
"dark skies","movie","scott stewart","keri russell, josh hamilton, j.k. simmons, dakota goyo, kadan rockett, l.j. benet, rich hutchman, myndy crist, annie thurman, jake brennan","united states","pg-13","horror movies, sci-fi & fantasy","2021-09-19","97","min"
"paranoia","movie","robert luketic","liam hemsworth, gary oldman, amber heard, harrison ford, lucas till, embeth davidtz, julian mcmahon, josh holloway, richard dreyfuss, angela sarafyan","united states, india, france","pg-13","thrillers","2021-09-19","106","min"
"ankahi kahaniya","movie","ashwiny iyer tiwari, abhishek chaubey, saket chaudhary","abhishek banerjee, rinku rajguru, delzad hiwale, kunal kapoor, zoya hussain, nikhil dwivedi, palomi ghosh","unknown","tv-14","dramas, independent movies, international movies","2021-09-17","111","min"
"chicago party aunt","tv show","unknown","lauren ash, rory o'malley, rupaul charles, jill talley, ike barinholtz, jon barinholtz, matthew craig, bob odenkirk, mike hagerty, katie rich, chris witaske","unknown","tv-ma","tv comedies","2021-09-17","1","Season"
"sex education","tv show","unknown","asa butterfield, gillian anderson, ncuti gatwa, emma mackey, connor swindells, kedar williams-stirling, alistair petrie","united kingdom","tv-ma","british tv shows, international tv shows, tv comedies","2021-09-17","3","Seasons"
"squid game","tv show","unknown","lee jung-jae, park hae-soo, wi ha-jun, oh young-soo, jung ho-yeon, heo sung-tae, kim joo-ryoung, tripathi anupam, you seong-joo, lee you-mi","unknown","tv-ma","international tv shows, tv dramas, tv thrillers","2021-09-17","1","Season"
"tayo and little wizards","tv show","unknown","dami lee, jason lee, bommie catherine han, jennifer waescher, nancy kim","unknown","tv-y7","kids' tv","2021-09-17","1","Season"
"the father who moves mountains","movie","daniel sandu","adrian titieni, elena purea, judith state, valeriu andriuță, tudor smoleanu, virgil aioanei, radu botar, petronela grigorescu, bogdan nechifor, cristian bota","unknown","tv-ma","dramas, international movies, thrillers","2021-09-17","110","min"
"the stronghold","movie","cédric jimenez","gilles lellouche, karim leklou, françois civil, adèle exarchopoulos, kenza fortas, cyril lecomte, michaël abiteboul, idir azougli, vincent darmuzey, jean-yves berteloot","unknown","tv-ma","action & adventure, dramas, international movies","2021-09-17","105","min"
"angry birds","tv show","unknown","antti pääkkönen, heljä heikkinen, lynne guaglione, pasi ruohonen, rauno ahonen","finland","tv-y7","kids' tv, tv comedies","2021-09-16","1","Season"
"birth of the dragon","movie","george nolfi","billy magnussen, ron yuan, qu jingjing, terry chen, vanness wu, jin xing, philip ng, xia yu, yu xia","china, canada, united states","pg-13","action & adventure, dramas","2021-09-16","96","min"
"chhota bheem","tv show","unknown","vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil","india","tv-y7","kids' tv","2021-09-16","3","Seasons"
"he-man and the masters of the universe","tv show","unknown","yuri lowenthal, kimberly brooks, antony del rio, trevor devall, ben diskin, grey griffin, david kaye, tom kenny, judy alice lee, roger craig smith, fred tatasciore","united states","tv-y7","kids' tv, tv sci-fi & fantasy","2021-09-16","1","Season"
"jaws","movie","steven spielberg","roy scheider, robert shaw, richard dreyfuss, lorraine gary, murray hamilton, carl gottlieb, jeffrey kramer, susan backlinie, jonathan filley, ted grossman","united states","pg","action & adventure, classic movies, dramas","2021-09-16","124","min"
"jaws 2","movie","jeannot szwarc","roy scheider, lorraine gary, murray hamilton, joseph mascolo, jeffrey kramer, collin wilcox paxton, ann dusenberry, mark gruner, barry coe, susan french","united states","pg","dramas, horror movies, thrillers","2021-09-16","116","min"
"jaws 3","movie","joe alves","dennis quaid, bess armstrong, simon maccorkindale, louis gossett jr., john putch, lea thompson, p.h. moriarty, dan blasko, liz morris, lisa maurer","united states","pg","action & adventure, horror movies, thrillers","2021-09-16","98","min"
"jaws: the revenge","movie","joseph sargent","lorraine gary, lance guest, mario van peebles, karen young, michael caine, judith barsi, mitchell anderson, lynn whitfield","united states","pg-13","action & adventure, horror movies, thrillers","2021-09-16","91","min"
"my heroes were cowboys","movie","tyler greco","unknown","unknown","pg","documentaries","2021-09-16","23","min"
"safe house","movie","daniel espinosa","denzel washington, ryan reynolds, vera farmiga, brendan gleeson, sam shepard, rubén blades, nora arnezeder, robert patrick, liam cunningham, joel kinnaman","south africa, united states, japan","r","action & adventure","2021-09-16","115","min"
"the smart money woman","tv show","bunmi ajakaiye","osas ighodaro, ini dima-okojie, kemi lala akindoju, toni tones, ebenezer eno, eso okolocha dike, patrick diabuah, karibi fubara, temisan emmanuel, timini egbuson","unknown","tv-ma","international tv shows, romantic tv shows, tv comedies","2021-09-16","1","Season"
"training day","movie","antoine fuqua","denzel washington, ethan hawke, scott glenn, tom berenger, harris yulin, raymond j. barry, cliff curtis, dr. dre, snoop dogg, macy gray, eva mendes","united states","r","dramas, thrillers","2021-09-16","122","min"
"castle and castle","tv show","unknown","richard mofe-damijo, dakore akande, bimbo manuel, blossom chukwujekwu, deyemi okanlawon, etim effiong, denola grey, duke akintola, eku edewor, ade laoye, anee icha, kevin ushi, jude chukwuka, amanda afolabi","nigeria","tv-ma","international tv shows, tv dramas","2021-09-15","2","Seasons"
"dharmakshetra","tv show","unknown","kashmira irani, chandan anand, dinesh mehta, ankit arora, pushkar goggiaa, anjali rana, aarya dharmchand kumar, amit behl, maleeka ghai","india","tv-pg","international tv shows, tv dramas, tv sci-fi & fantasy","2021-09-15","1","Season"
"inuyasha the movie 2: the castle beyond the looking glass","movie","toshiya shinohara","kappei yamaguchi, satsuki yukino, mieko harada, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, kenichi ogata, toshiyuki morikawa, izumi ogami","japan","tv-14","action & adventure, anime features, international movies","2021-09-15","99","min"
"inuyasha the movie 3: swords of an honorable ruler","movie","toshiya shinohara","kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, ken narita, akio otsuka, kikuko inoue","japan","tv-14","action & adventure, anime features, international movies","2021-09-15","99","min"
"inuyasha the movie 4: fire on the mystic island","movie","toshiya shinohara","kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, ken narita, cho, mamiko noto, nobutoshi canna","japan","tv-pg","action & adventure, anime features, international movies","2021-09-15","88","min"
"inuyasha the movie: affections touching across time","movie","toshiya shinohara","kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, kenichi ogata, noriko hidaka, hisako kyoda, ken narita, tomokazu seki","japan","tv-pg","action & adventure, anime features, international movies","2021-09-15","100","min"
"nailed it","tv show","unknown","nicole byer, jacques torres","united states","tv-pg","reality tv","2021-09-15","6","Seasons"
"naruto shippuden the movie: blood prison","movie","masahiko murata","junko takeuchi, chie nakamura, rikiya koyama, kazuhiko inoue, masaki terasoma, mie sonozaki, yuichi nakamura, kengo kawanishi, kosei hirota, masako katsuki","japan","tv-14","action & adventure, anime features, international movies","2021-09-15","102","min"
"naruto shippûden the movie: bonds","movie","hajime kamegaki","junko takeuchi, chie nakamura, noriaki sugiyama, unsho ishizuka, motoko kumai, kazuhiko inoue, rikiya koyama, showtaro morikubo, nana mizuki, satoshi hino, shinji kawada","japan","tv-pg","action & adventure, anime features, international movies","2021-09-15","93","min"
"naruto shippûden the movie: the will of fire","movie","masahiko murata","junko takeuchi, chie nakamura, kazuhiko inoue, satoshi hino, showtaro morikubo, kentaro ito, ryoka yuzuki, kohsuke toriumi, nana mizuki, shinji kawada, yoichi masukawa, koichi tochika, yukari tamura","japan","tv-pg","action & adventure, anime features, international movies","2021-09-15","96","min"
"naruto shippuden: the movie","movie","hajime kamegaki","junko takeuchi, chie nakamura, yoichi masukawa, koichi tochika, ayumi fujimura, keisuke oda, daisuke kishio, fumiko orikasa, hidetoshi nakamura, tetsuya kakihara, kisho taniyama, miyuki sawashiro, katsuyuki konishi, masako katsuki, keiko nemoto, masashi ebara, kazuhiko inoue, showtaro morikubo, romi park, daisuke ono, seizo kato","japan","tv-pg","action & adventure, anime features, international movies","2021-09-15","95","min"
"naruto shippuden: the movie: the lost tower","movie","masahiko murata","junko takeuchi, chie nakamura, satoshi hino, rikiya koyama, nobuaki fukuda, kenji hamada, keiko nemoto, saori hayami, yumi toma, yuko kobayashi, fujiko takimoto, mutsumi tamura, mayuki makiguchi, toshiyuki morikawa","japan","tv-14","action & adventure, anime features, international movies","2021-09-15","85","min"
"naruto the movie 2: legend of the stone of gelel","movie","hirotsugu kawasaki","junko takeuchi, gamon kaai, chie nakamura, showtaro morikubo, akira ishida, yasuyuki kase, urara takano, sachiko kojima, houko kuwashima, takako honda","japan","tv-pg","action & adventure, anime features, international movies","2021-09-15","97","min"
"naruto the movie 3: guardians of the crescent moon kingdom","movie","toshiyuki tsuru","junko takeuchi, chie nakamura, yoichi masukawa, kazuhiko inoue, akio otsuka, kyousuke ikeda, marika hayashi, umeji sasaki, masashi sugawara, hisao egawa","japan","tv-pg","action & adventure, anime features, international movies","2021-09-15","95","min"
"naruto the movie: ninja clash in the land of snow","movie","tensai okamura","junko takeuchi, noriaki sugiyama, chie nakamura, kazuhiko inoue, yuhko kaida, tsutomu isobe, hirotaka suzuoki, jun karasawa, harii kaneko, ikuo nishikawa","japan","tv-pg","action & adventure, anime features, international movies","2021-09-15","83","min"
"nightbooks","movie","david yarovesky","winslow fegley, lidya jewett, krysten ritter","unknown","tv-pg","children & family movies","2021-09-15","103","min"
"numberblocks","tv show","unknown","beth chalmers, david holt, marcel mccalla, teresa gallagher","united kingdom","tv-y","kids' tv","2021-09-15","6","Seasons"
"raja rasoi aur anya kahaniyan","tv show","unknown","unknown","india","tv-g","docuseries, international tv shows","2021-09-15","1","Season"
"saved by the bell","tv show","unknown","mark-paul gosselaar, tiffani thiessen, mario lopez, lark voorhies, elizabeth berkley, dustin diamond, dennis haskins","united states","tv-pg","kids' tv, tv comedies","2021-09-15","9","Seasons"
"schumacher","movie","hanns-bruno kammertöns, vanessa nöcker, michael wech","michael schumacher","unknown","tv-14","documentaries, international movies, sports movies","2021-09-15","113","min"
"stories by rabindranath tagore","tv show","unknown","unknown","india","tv-pg","international tv shows, tv dramas","2021-09-15","1","Season"
"too hot to handle: latino","tv show","unknown","itatí cantoral","unknown","tv-ma","international tv shows, reality tv, romantic tv shows","2021-09-15","1","Season"
"a storybots space adventure","movie","david a. vargas","evan spiridellis, erin fitzgerald, jeff gill, fred tatasciore, evan michael lee, jared isaacman, sian proctor, chris sembroski, hayley arceneaux","unknown","tv-y","children & family movies","2021-09-14","13","min"
"jack whitehall: travels with my father","tv show","unknown","jack whitehall, michael whitehall","united kingdom","tv-ma","british tv shows, docuseries, international tv shows","2021-09-14","5","Seasons"
"king of boys","movie","kemi adetiba","sola sobowale, adesua etomi, remilekun ""reminisce"" safaru, tobechukwu ""illbliss"" ejiofor, toni tones, paul sambo, jide kosoko, sharon ooja","nigeria","tv-ma","dramas, international movies","2021-09-14","182","min"
"the world's most amazing vacation rentals","tv show","unknown","unknown","unknown","tv-pg","reality tv","2021-09-14","2","Seasons"
"you vs. wild: out cold","movie","ben simms","bear grylls, jason derek prempeh","unknown","tv-g","children & family movies","2021-09-14","106","min"
"yowamushi pedal","tv show","unknown","daiki yamashita, kohsuke toriumi, jun fukushima, hiroki yasumoto, showtaro morikubo, kentaro ito, daisuke kishio, yoshitsugu matsuoka, junichi suwabe, ayaka suwa, megumi han, tomoaki maeno, tsubasa yonaga, tetsuya kakihara, satoshi hino, hiroyuki yoshino, atsushi abe, koji yusa, kouki miyata, hiro shimono, wataru hatano, yuichi nakamura, kenji nojima, mamoru miyano, daisuke ono, yuma uchida, jun fukuyama","japan","tv-14","anime series, international tv shows","2021-09-14","1","Season"
"little singham - black shadow","movie","prakash satam","sumriddhi shukla, jigna bharadwaj, sonal kaushal, neshma chemburkar, ganesh divekar, annamaya verma, anamay verma, manoj pandey","unknown","tv-y7","children & family movies, comedies","2021-09-11","48","min"
"tughlaq durbar","movie","delhiprasad deenadayalan","vijay sethupathi, parthiban, raashi khanna","unknown","tv-14","comedies, dramas, international movies","2021-09-11","145","min"
"tughlaq durbar (telugu)","movie","delhiprasad deenadayalan","vijay sethupathi, parthiban, raashi khanna","unknown","tv-14","comedies, dramas, international movies","2021-09-11","145","min"
"firedrake the silver dragon","movie","tomer eshed","thomas brodie-sangster, felicity jones, freddie highmore, patrick stewart, meera syal, sanjeev bhaskar, nonso anozie","unknown","tv-y7","children & family movies","2021-09-10","93","min"
"kate","movie","cedric nicolas-troyan","mary elizabeth winstead, jun kunimura, woody harrelson, tadanobu asano, miyavi, michiel huisman, miku martineau","united states","r","action & adventure","2021-09-10","106","min"
"lucifer","tv show","unknown","tom ellis, lauren german, kevin alejandro, d.b. woodside, lesley-ann brandt, scarlett estevez, rachael harris, aimee garcia, tricia helfer, tom welling, jeremiah w. birkett, pej vahdat, michael gladis","united states","tv-14","crime tv shows, tv comedies, tv dramas","2021-09-10","6","Seasons"
"metal shop masters","tv show","unknown","jo koy","unknown","tv-ma","reality tv","2021-09-10","1","Season"
"omo ghetto: the saga","movie","jjc skillz, funke akindele","funke akindele, ayo makun, chioma chukwuka akpotha, yemi eberechi alade, blossom chukwujekwu, deyemi okanlawon, alexx ekubo, zubby michael, tina mba, femi jacobs","nigeria","tv-ma","action & adventure, comedies, dramas","2021-09-10","147","min"
"pokémon master journeys: the series","tv show","unknown","ikue otani, sarah natochenny, zeno robinson, cherami leigh, james carter cathcart, michele knotz, rodger parsons, ray chase, casey mongillo, tara sands","unknown","tv-y7","anime series, kids' tv","2021-09-10","1","Season"
"prey","movie","thomas sieben","david kross, hanno koffler, maria ehrich, robert finster, yung ngo, klaus steinbacher, livia matthes, nellie thalbach","unknown","tv-ma","international movies, thrillers","2021-09-10","87","min"
"titipo titipo","tv show","unknown","jeon hae-ri, kim eun-ah, hong bum-ki, nam do-hyeong, um sang-hyun","unknown","tv-y","kids' tv, korean tv shows","2021-09-10","2","Seasons"
"blood brothers: malcolm x & muhammad ali","movie","marcus clarke","malcolm x, muhammad ali","unknown","pg-13","documentaries, sports movies","2021-09-09","96","min"
"mighty raju","tv show","unknown","julie tejwani, sabina malik, jigna bhardwaj, rupa bhimani, lalit agarwal, rajesh shukla, rajesh kava","unknown","tv-y7","kids' tv","2021-09-09","4","Seasons"
"paradise hills","movie","alice waddington","emma roberts, danielle macdonald, awkwafina, eiza gonzález, milla jovovich, jeremy irvine, arnaud valois, daniel horvath","spain, united states","tv-ma","sci-fi & fantasy, thrillers","2021-09-09","95","min"
"the women and the murderer","movie","mona achache, patricia tourancheau","unknown","france","tv-14","documentaries, international movies","2021-09-09","92","min"
"into the night","tv show","unknown","pauline etienne, laurent capelluto, stefano cassetti, mehmet kurtuluş, babetida sadjo, jan bijvoet, ksawery szlenkier, vincent londez, regina bikkinina, alba gaïa kraghede bellugi, nabil mallat","belgium","tv-ma","international tv shows, tv dramas, tv mysteries","2021-09-08","2","Seasons"
"jj+e","movie","alexis almström","elsa öhrn, mustapha aarab, jonay pineda skallak, magnus krepper, loreen, albin grenholm, simon mezher, elsa bergström terent, josef kadim, yohannes frezgi","unknown","tv-ma","dramas, international movies, romantic movies","2021-09-08","91","min"
"show dogs","movie","raja gosnell","will arnett, ludacris, natasha lyonne, stanley tucci, jordin sparks, gabriel iglesias, shaquille o'neal, omar chaparro, alan cumming, andy beckwith, delia sheppard, kerry shale","united kingdom, united states","pg","children & family movies, comedies","2021-09-08","90","min"
"the circle","tv show","unknown","michelle buteau","united states, united kingdom","tv-ma","reality tv","2021-09-08","3","Seasons"
"if i leave here tomorrow: a film about lynyrd skynyrd","movie","stephen kijak","ronnie van zandt, gary rossington, allen collins, leon wilkeson, bob burns, billy powell, ed king, artimus pyle, steve gaines, johnny van zant","united states","tv-ma","documentaries, music & musicals","2021-09-07","97","min"
"kid cosmic","tv show","unknown","jack fisher, tom kenny, amanda c. miller, kim yarbrough, keith ferguson, grey griffin, lily rose silver","united states","tv-y7","kids' tv, tv comedies, tv sci-fi & fantasy","2021-09-07","2","Seasons"
"octonauts: above & beyond","tv show","unknown","antonio aakeel, chipo chung, simon foster, teresa gallagher, simon greenall, kate harbour, paul panting, rob rackstraw, william vanderpuye, helen walsh, keith wickham, andres williams, jo wyatt","united kingdom","tv-y","british tv shows, kids' tv","2021-09-07","1","Season"
"on the verge","tv show","unknown","julie delpy, elisabeth shue, sarah jones, alexia landeau, mathieu demy, troy garity, timm sharp, giovanni ribisi","france, united states","tv-ma","tv comedies, tv dramas","2021-09-07","1","Season"
"tobot galaxy detectives","tv show","unknown","austin abell, travis turner, cole howard, anna cummer, jesse inocalla, brian dobson, michael adamthwaite, joseph girgis, caitlyn bairstow","unknown","tv-y7","kids' tv","2021-09-07","2","Seasons"
"untold: breaking point","movie","chapman way, maclain way","unknown","united states","tv-ma","documentaries, sports movies","2021-09-07","80","min"
"countdown: inspiration4 mission to space","tv show","jason hehir","unknown","unknown","tv-14","docuseries, science & nature tv","2021-09-06","1","Season"
"shadow parties","movie","yemi amodu","jide kosoko, omotola jalade-ekeinde, yemi blaq, sola sobowale, ken erics, toyin aimakhu, segun arinze, jibola dabo, rotimi salami, pa jimi solanke, rachael okonkwo, bassey okon, lucien morgan, magdalena korpas","unknown","tv-ma","dramas, international movies, thrillers","2021-09-06","117","min"
"tayo the little bus","tv show","unknown","robyn slade, kami desilets","south korea","tv-y","kids' tv, korean tv shows","2021-09-06","2","Seasons"
"angamaly diaries","movie","lijo jose pellissery","antony varghese, reshma rajan, binny rinky benjamin, vineeth vishwam, kichu tellus, sreekanth dasan, sarath kumar, tito wilson, anandhu, bitto davis, sinoj varghese","india","tv-14","action & adventure, comedies, dramas","2021-09-05","128","min"
"bunk'd","tv show","unknown","peyton list, karan brar, skai jackson, miranda may, kevin g. quinn, nathan arenas, nina lu","united states","tv-g","kids' tv, tv comedies","2021-09-05","5","Seasons"
"a champion heart","movie","david de vos","mandy grace, david de vos, donna rusch, devan key, isabella mancuso, ariana guido","united states","g","children & family movies, dramas","2021-09-04","90","min"
"dive club","tv show","unknown","aubri ibrag, sana'a shaik, miah madden, mercy cornwall, georgia-may davis, ryan harrison, josh heuston, alexander grant","australia","tv-g","kids' tv, tv dramas, teen tv shows","2021-09-03","1","Season"
"la casa de papel","tv show","unknown","úrsula corberó, itziar ituño, álvaro morte, paco tous, enrique arce, pedro alonso, maría pedraza, alba flores, miguel herrán, jaime lorente, esther acebo, darko peric, kiti mánver","spain","tv-ma","crime tv shows, international tv shows, spanish-language tv shows","2021-09-03","5","Seasons"
"money heist: from tokyo to berlin","tv show","luis alfaro, javier gómez santander","unknown","unknown","tv-ma","docuseries, international tv shows, spanish-language tv shows","2021-09-03","1","Season"
"sharkdog","tv show","unknown","liam mitchell, dee bradley baker, grey griffin, josh mcdermitt, kari wahlgren, judy alice lee, ali mawji","united states, singapore","tv-y","kids' tv","2021-09-03","1","Season"
"worth","movie","sara colangelo","michael keaton, stanley tucci, amy ryan, shunori ramanathan, ato blankson-wood, tate donovan, laura benanti, chris tardio","unknown","pg-13","dramas","2021-09-03","119","min"
"afterlife of the party","movie","stephen herek","victoria justice, midori francis, robyn scott, adam garcia, timothy renouf, gloria garcia, myfanwy waring, spencer sutherland","unknown","tv-pg","comedies, romantic movies","2021-09-02","110","min"
"anjaam","movie","rahul rawail","madhuri dixit, shah rukh khan, tinnu anand, johny lever, kalpana iyer, himani shivpuri, sudha chandran, beena, kiran kumar","india","tv-14","dramas, international movies, thrillers","2021-09-02","143","min"
"bright star","movie","jane campion","abbie cornish, ben whishaw, paul schneider, kerry fox, edie martin, thomas brodie-sangster, claudie blakley, gerard monaco, antonia campbell-hughes, samuel roukin","united kingdom, australia, france","pg","dramas, romantic movies","2021-09-02","119","min"
"dhanak","movie","nagesh kukunoor","krrish chhabria, hetal gada, vipin sharma, gulfam khan, suresh menon, vijay maurya, rajiv lakshman, ninad kamat","india","tv-pg","comedies, dramas, independent movies","2021-09-02","114","min"
"final account","movie","luke holland","unknown","united kingdom, united states","pg-13","documentaries","2021-09-02","94","min"
"gurgaon","movie","shanker raman","akshay oberoi, pankaj tripathi, ragini khanna, aamir bashir, shalini vatsa, ashish verma","india","tv-14","dramas, international movies, thrillers","2021-09-02","106","min"
"here and there","movie","jp habac","janine gutierrez, jc santos, victor anastacio, yesh burce, lotlot de leon","unknown","tv-ma","dramas, international movies, romantic movies","2021-09-02","99","min"
"heroes of goo jit zu","tv show","unknown","jon allen, kellen goff, joe hernandez, kaiji tang","australia","tv-y7","kids' tv, tv comedies","2021-09-02","1","Season"
"hotel del luna","tv show","unknown","lee ji-eun, yeo jin-goo, shin jung-geun, seo yi-sook, bae hae-sun, pyo ji-hoon, cho hyun-chul, kang hong-suk, lee do-hyun, lee tae-seon, kang mina, park you-na, oh ji-ho","unknown","tv-14","international tv shows, romantic tv shows, tv comedies","2021-09-02","1","Season"
"in the cut","movie","jane campion","meg ryan, mark ruffalo, jennifer jason leigh, nick damici, sharrieff pugh, kevin bacon, yaani king mondschein, heather litteer","united kingdom, australia, france, united states","r","thrillers","2021-09-02","118","min"
"luv kushh","tv show","unknown","unknown","unknown","tv-y7","kids' tv","2021-09-02","1","Season"
"pororo - the little penguin","tv show","unknown","unknown","south korea","tv-y7","kids' tv, korean tv shows","2021-09-02","3","Seasons"
